## This file contains the the median and 95% range (2.5th and 97.5th percentiles) of the full 7000-member ensemble accross all methods of the PAGES2k Consortium 2019 global mean temperature reconstructions.
## We recommend working with the full ensemble provided in the other files in this data compilation for a more robust analysis of GMST.
## The columns in this table are: Year CE, raw instrumental target data, reconstruction ensemble 50th, 2.5th and 97.5th percentiles, 31-year butterworth filtered instrumental target data, 31-year butterworth filtered reconstruction 50th, 2.5th and 97.5th percentiles
## All values are °C wrt 1961-1990 over the April-March annual average.
Year	Cowtan & Way instrumental target	Full ensemble median	Full ensemble 2.5th percentile	Full ensemble 97.5th percentile	Cowtan & Way instrumental target 31-year filtered	31-year filtered full ensemble median	31-year filtered full ensemble 2.5th percentile	31-year filtered full ensemble 97.5th percentile
332	NA	-0.2132	-0.5668	0.1097	NA	-0.2052	-0.4789	0.053
333	NA	-0.179	-0.5448	0.2261	NA	-0.2071	-0.4819	0.0514
334	NA	-0.2421	-0.6039	0.0664	NA	-0.2091	-0.4854	0.0501
335	NA	-0.307	-0.6834	0.0215	NA	-0.2107	-0.4879	0.0485
336	NA	-0.2436	-0.6026	0.064	NA	-0.2118	-0.4907	0.0454
337	NA	-0.2388	-0.6469	0.0783	NA	-0.2129	-0.4936	0.0427
338	NA	-0.2809	-0.6658	0.0391	NA	-0.2138	-0.4975	0.0417
339	NA	-0.3384	-0.7508	0.0325	NA	-0.2146	-0.5007	0.0408
340	NA	-0.2468	-0.5989	0.0337	NA	-0.2155	-0.5039	0.0395
341	NA	-0.1925	-0.5688	0.0999	NA	-0.2164	-0.5061	0.038
342	NA	-0.2062	-0.6088	0.0827	NA	-0.2173	-0.5085	0.037
343	NA	-0.2116	-0.6049	0.0777	NA	-0.2179	-0.5098	0.0361
344	NA	-0.2519	-0.718	0.1169	NA	-0.2182	-0.5125	0.0363
345	NA	-0.2317	-0.5988	0.0621	NA	-0.2185	-0.5139	0.0353
346	NA	-0.1844	-0.6025	0.0996	NA	-0.219	-0.5156	0.0345
347	NA	-0.2193	-0.6648	0.08	NA	-0.2196	-0.5173	0.0334
348	NA	-0.1619	-0.5778	0.1482	NA	-0.2206	-0.5191	0.0349
349	NA	-0.1519	-0.5481	0.1625	NA	-0.221	-0.5195	0.0339
350	NA	-0.2371	-0.6507	0.0686	NA	-0.2218	-0.5212	0.0348
351	NA	-0.2376	-0.6481	0.0628	NA	-0.2228	-0.5216	0.0344
352	NA	-0.2886	-0.7128	0.0294	NA	-0.2239	-0.5228	0.0349
353	NA	-0.2147	-0.5608	0.1189	NA	-0.225	-0.5233	0.035
354	NA	-0.2684	-0.6909	0.0821	NA	-0.2263	-0.5231	0.035
355	NA	-0.254	-0.6268	0.046	NA	-0.2275	-0.5239	0.0371
356	NA	-0.2321	-0.5889	0.0965	NA	-0.2285	-0.5239	0.0383
357	NA	-0.2833	-0.6768	0.0904	NA	-0.2297	-0.5246	0.0403
358	NA	-0.2069	-0.5669	0.1503	NA	-0.2306	-0.5247	0.0413
359	NA	-0.334	-0.7028	-0.0118	NA	-0.2318	-0.5246	0.0447
360	NA	-0.2547	-0.6318	0.1031	NA	-0.2331	-0.5254	0.0463
361	NA	-0.1878	-0.5289	0.2185	NA	-0.2341	-0.5245	0.0497
362	NA	-0.2598	-0.6588	0.0406	NA	-0.235	-0.5255	0.051
363	NA	-0.2275	-0.6128	0.0946	NA	-0.2361	-0.5265	0.0519
364	NA	-0.2223	-0.6229	0.0893	NA	-0.2369	-0.5275	0.0536
365	NA	-0.2481	-0.6289	0.0986	NA	-0.238	-0.5282	0.0547
366	NA	-0.2402	-0.6178	0.1044	NA	-0.2389	-0.5303	0.056
367	NA	-0.2494	-0.6798	0.0916	NA	-0.2396	-0.5306	0.0582
368	NA	-0.231	-0.6249	0.1472	NA	-0.2402	-0.5302	0.0597
369	NA	-0.2845	-0.7148	0.1116	NA	-0.241	-0.5294	0.0613
370	NA	-0.2009	-0.6339	0.228	NA	-0.2414	-0.5289	0.062
371	NA	-0.2462	-0.6598	0.0972	NA	-0.2418	-0.5288	0.0637
372	NA	-0.2938	-0.6748	0.0557	NA	-0.242	-0.5275	0.0654
373	NA	-0.2807	-0.7409	0.0944	NA	-0.2422	-0.5264	0.0663
374	NA	-0.3608	-0.8049	0.074	NA	-0.2421	-0.5255	0.0663
375	NA	-0.2199	-0.6459	0.1412	NA	-0.2421	-0.5238	0.0663
376	NA	-0.2689	-0.6698	0.1471	NA	-0.242	-0.5219	0.067
377	NA	-0.1468	-0.5229	0.2101	NA	-0.2418	-0.5202	0.0676
378	NA	-0.2329	-0.6428	0.1172	NA	-0.2415	-0.5181	0.068
379	NA	-0.185	-0.6008	0.1588	NA	-0.2412	-0.5155	0.0676
380	NA	-0.1759	-0.5885	0.1777	NA	-0.2407	-0.5142	0.0682
381	NA	-0.2523	-0.6291	0.0986	NA	-0.24	-0.5126	0.0682
382	NA	-0.1843	-0.6178	0.2019	NA	-0.2395	-0.5112	0.0663
383	NA	-0.1979	-0.5958	0.1384	NA	-0.239	-0.5109	0.066
384	NA	-0.1734	-0.5789	0.2133	NA	-0.2384	-0.5087	0.0671
385	NA	-0.151	-0.6019	0.3029	NA	-0.2377	-0.5067	0.0681
386	NA	-0.1402	-0.4818	0.3424	NA	-0.2369	-0.5048	0.0685
387	NA	-0.2375	-0.5809	0.0798	NA	-0.236	-0.5026	0.0686
388	NA	-0.2479	-0.6002	0.0839	NA	-0.2348	-0.4978	0.0666
389	NA	-0.2589	-0.5608	0.0758	NA	-0.2336	-0.4967	0.065
390	NA	-0.3366	-0.677	3e-04	NA	-0.2321	-0.4927	0.0654
391	NA	-0.2746	-0.6068	0.0618	NA	-0.2305	-0.4891	0.0661
392	NA	-0.3115	-0.68	-0.0111	NA	-0.2285	-0.4861	0.0658
393	NA	-0.3053	-0.6911	-0.009	NA	-0.2262	-0.4838	0.0665
394	NA	-0.2912	-0.6598	0.0244	NA	-0.2237	-0.4814	0.0674
395	NA	-0.2984	-0.6868	0.0225	NA	-0.2208	-0.4791	0.0692
396	NA	-0.2633	-0.6218	0.0529	NA	-0.2179	-0.4755	0.071
397	NA	-0.2515	-0.6429	0.0814	NA	-0.2148	-0.4709	0.0718
398	NA	-0.2008	-0.5362	0.1257	NA	-0.2116	-0.4672	0.0748
399	NA	-0.2279	-0.5668	0.0955	NA	-0.2081	-0.4631	0.0756
400	NA	-0.2451	-0.676	0.0541	NA	-0.2048	-0.4598	0.0756
401	NA	-0.1791	-0.5468	0.1688	NA	-0.2011	-0.4563	0.0776
402	NA	-0.1978	-0.5569	0.1032	NA	-0.1978	-0.4523	0.0794
403	NA	-0.1438	-0.5548	0.2101	NA	-0.1943	-0.4485	0.0819
404	NA	-0.1719	-0.5599	0.1662	NA	-0.191	-0.4438	0.0851
405	NA	-0.1057	-0.5059	0.2102	NA	-0.188	-0.4398	0.0873
406	NA	-0.0138	-0.3959	0.3217	NA	-0.185	-0.4358	0.0888
407	NA	-0.0675	-0.4489	0.2247	NA	-0.1823	-0.4316	0.091
408	NA	-0.0519	-0.4398	0.3168	NA	-0.18	-0.4281	0.0942
409	NA	-0.1059	-0.4688	0.1922	NA	-0.1781	-0.425	0.0967
410	NA	-0.1469	-0.4828	0.1553	NA	-0.1765	-0.4222	0.0984
411	NA	-0.1249	-0.4927	0.2394	NA	-0.1748	-0.42	0.1006
412	NA	-0.168	-0.5538	0.2214	NA	-0.1736	-0.4182	0.1026
413	NA	-0.1195	-0.4489	0.2589	NA	-0.1725	-0.4155	0.1035
414	NA	-0.1999	-0.5649	0.1722	NA	-0.1716	-0.4143	0.1058
415	NA	-0.1209	-0.4517	0.211	NA	-0.1708	-0.4121	0.1069
416	NA	-0.1809	-0.5408	0.1572	NA	-0.1701	-0.4099	0.1081
417	NA	-0.1479	-0.4689	0.1818	NA	-0.1693	-0.4091	0.1093
418	NA	-0.1849	-0.5035	0.1249	NA	-0.1687	-0.408	0.1098
419	NA	-0.1505	-0.4764	0.1543	NA	-0.1683	-0.4066	0.1111
420	NA	-0.1473	-0.5008	0.1625	NA	-0.1683	-0.4053	0.1121
421	NA	-0.1753	-0.5209	0.1371	NA	-0.1677	-0.4042	0.1133
422	NA	-0.1982	-0.5788	0.1886	NA	-0.1671	-0.4038	0.1146
423	NA	-0.1929	-0.5859	0.1791	NA	-0.1666	-0.4026	0.1154
424	NA	-0.0958	-0.4621	0.2605	NA	-0.1661	-0.4019	0.1165
425	NA	-0.1105	-0.4348	0.2246	NA	-0.1655	-0.4039	0.1176
426	NA	-0.2733	-0.669	0.1626	NA	-0.1649	-0.4033	0.1183
427	NA	-0.1836	-0.5034	0.1516	NA	-0.1641	-0.4012	0.1189
428	NA	-0.2478	-0.5929	0.083	NA	-0.1634	-0.4017	0.1197
429	NA	-0.1307	-0.5028	0.2098	NA	-0.1628	-0.4003	0.121
430	NA	-0.0936	-0.4757	0.217	NA	-0.1623	-0.399	0.1222
431	NA	-0.1609	-0.5029	0.1805	NA	-0.1617	-0.3995	0.1237
432	NA	-0.1387	-0.4907	0.1879	NA	-0.1612	-0.4003	0.1239
433	NA	-0.1288	-0.4353	0.1617	NA	-0.1607	-0.3986	0.1251
434	NA	-0.0849	-0.4195	0.2134	NA	-0.1603	-0.3988	0.1259
435	NA	-0.0963	-0.4208	0.2372	NA	-0.1598	-0.3993	0.1277
436	NA	-0.181	-0.5181	0.1594	NA	-0.1596	-0.4002	0.1288
437	NA	-0.1168	-0.4808	0.2508	NA	-0.1595	-0.401	0.1287
438	NA	-0.1472	-0.4916	0.1257	NA	-0.1596	-0.4021	0.1297
439	NA	-0.2229	-0.6307	0.1008	NA	-0.1599	-0.4028	0.1303
440	NA	-0.1879	-0.562	0.0942	NA	-0.1603	-0.4035	0.1318
441	NA	-0.1469	-0.5049	0.1541	NA	-0.161	-0.4042	0.1318
442	NA	-0.1089	-0.4678	0.2168	NA	-0.1619	-0.4048	0.1327
443	NA	-0.0626	-0.4518	0.3625	NA	-0.1631	-0.4053	0.1321
444	NA	-0.0314	-0.3828	0.4025	NA	-0.1643	-0.4052	0.1318
445	NA	-0.1507	-0.5028	0.2632	NA	-0.1658	-0.4084	0.1317
446	NA	-0.1247	-0.4499	0.3312	NA	-0.1677	-0.4099	0.1312
447	NA	-0.1686	-0.5168	0.1566	NA	-0.1694	-0.4111	0.1305
448	NA	-0.1711	-0.4952	0.1169	NA	-0.1715	-0.4134	0.1283
449	NA	-0.2887	-0.661	0.081	NA	-0.1736	-0.4147	0.1261
450	NA	-0.1552	-0.5448	0.1504	NA	-0.1759	-0.4178	0.1246
451	NA	-0.2029	-0.6069	0.2416	NA	-0.1781	-0.4204	0.1227
452	NA	-0.1671	-0.4829	0.1435	NA	-0.1806	-0.4239	0.1213
453	NA	-0.1321	-0.4628	0.205	NA	-0.1832	-0.4271	0.1204
454	NA	-0.1378	-0.4989	0.2647	NA	-0.1857	-0.4288	0.119
455	NA	-0.1236	-0.4798	0.255	NA	-0.1884	-0.4315	0.1161
456	NA	-0.1434	-0.4819	0.1873	NA	-0.1906	-0.4338	0.114
457	NA	-0.0779	-0.4328	0.3619	NA	-0.1934	-0.4364	0.1121
458	NA	-0.1037	-0.4901	0.2281	NA	-0.196	-0.4395	0.1097
459	NA	-0.1487	-0.5548	0.2167	NA	-0.1986	-0.4419	0.1082
460	NA	-0.1929	-0.6449	0.172	NA	-0.2012	-0.4453	0.1054
461	NA	-0.1431	-0.5108	0.1973	NA	-0.2036	-0.4466	0.1033
462	NA	-0.2145	-0.5658	0.1746	NA	-0.2059	-0.4507	0.0998
463	NA	-0.2359	-0.5748	0.1075	NA	-0.2079	-0.4527	0.0979
464	NA	-0.2518	-0.5989	0.0733	NA	-0.2099	-0.4559	0.0968
465	NA	-0.2026	-0.5809	0.1459	NA	-0.2117	-0.458	0.0956
466	NA	-0.1485	-0.4639	0.266	NA	-0.213	-0.4596	0.0938
467	NA	-0.2288	-0.6063	0.1248	NA	-0.2138	-0.4616	0.0923
468	NA	-0.2142	-0.5578	0.127	NA	-0.2146	-0.4621	0.09
469	NA	-0.2646	-0.5909	0.0449	NA	-0.2148	-0.464	0.0914
470	NA	-0.3221	-0.6669	-0.0038	NA	-0.2149	-0.4646	0.0915
471	NA	-0.2833	-0.6308	0.0344	NA	-0.2145	-0.4643	0.0894
472	NA	-0.2568	-0.5898	0.0699	NA	-0.2136	-0.4644	0.0892
473	NA	-0.2746	-0.6685	0.0253	NA	-0.2122	-0.4641	0.0904
474	NA	-0.3172	-0.7044	0.0025	NA	-0.2106	-0.4616	0.0918
475	NA	-0.272	-0.6989	0.0525	NA	-0.2086	-0.4615	0.0924
476	NA	-0.2579	-0.6438	0.0402	NA	-0.2061	-0.4612	0.0933
477	NA	-0.2494	-0.5738	0.0591	NA	-0.2038	-0.4606	0.0938
478	NA	-0.1549	-0.4909	0.3328	NA	-0.201	-0.4598	0.0982
479	NA	-0.1717	-0.5338	0.2772	NA	-0.1979	-0.4578	0.1027
480	NA	-0.0919	-0.4174	0.3935	NA	-0.1945	-0.4573	0.1054
481	NA	-0.1571	-0.5059	0.1706	NA	-0.191	-0.4552	0.1079
482	NA	-0.1773	-0.5568	0.185	NA	-0.1872	-0.4534	0.1105
483	NA	-0.1493	-0.5519	0.2358	NA	-0.1835	-0.4526	0.1123
484	NA	-0.1433	-0.5629	0.2162	NA	-0.1796	-0.4507	0.1126
485	NA	-0.0876	-0.4639	0.2124	NA	-0.176	-0.45	0.111
486	NA	-0.1715	-0.5438	0.2046	NA	-0.1724	-0.4485	0.1114
487	NA	-0.1578	-0.5308	0.254	NA	-0.1685	-0.4476	0.112
488	NA	-0.1908	-0.6208	0.1596	NA	-0.1652	-0.4476	0.1132
489	NA	-0.1202	-0.5399	0.2348	NA	-0.1619	-0.4483	0.1118
490	NA	-0.1511	-0.5578	0.2023	NA	-0.1588	-0.4484	0.1112
491	NA	-0.1337	-0.5037	0.1744	NA	-0.1559	-0.4477	0.1098
492	NA	-0.1777	-0.5379	0.1182	NA	-0.1537	-0.4482	0.1079
493	NA	-0.1096	-0.4926	0.1747	NA	-0.1515	-0.4476	0.1066
494	NA	-0.091	-0.4868	0.2675	NA	-0.1496	-0.4478	0.1046
495	NA	-0.1439	-0.5878	0.1771	NA	-0.1479	-0.4486	0.102
496	NA	-0.115	-0.4845	0.2284	NA	-0.1466	-0.447	0.1006
497	NA	-0.1535	-0.5658	0.1572	NA	-0.146	-0.4461	0.0971
498	NA	-0.1223	-0.5038	0.1857	NA	-0.1458	-0.4468	0.0947
499	NA	-0.167	-0.5558	0.1019	NA	-0.1453	-0.4463	0.0927
500	NA	-0.1112	-0.4845	0.2423	NA	-0.1455	-0.4461	0.0893
501	NA	-0.1098	-0.5039	0.2305	NA	-0.146	-0.4469	0.0859
502	NA	-0.1327	-0.464	0.1917	NA	-0.1468	-0.4479	0.0829
503	NA	-0.1536	-0.5698	0.117	NA	-0.1477	-0.448	0.0802
504	NA	-0.2426	-0.6658	0.0689	NA	-0.1488	-0.4495	0.0785
505	NA	-0.1619	-0.5458	0.1036	NA	-0.1504	-0.4498	0.0762
506	NA	-0.2134	-0.5628	0.0439	NA	-0.1524	-0.4498	0.0735
507	NA	-0.1499	-0.4881	0.1501	NA	-0.1542	-0.4505	0.0716
508	NA	-0.1928	-0.5208	0.093	NA	-0.156	-0.454	0.0703
509	NA	-0.2279	-0.5937	0.0562	NA	-0.1582	-0.4562	0.0687
510	NA	-0.2421	-0.6028	0.033	NA	-0.1604	-0.4593	0.0672
511	NA	-0.2885	-0.6959	0.0175	NA	-0.1624	-0.4604	0.0652
512	NA	-0.2738	-0.6617	0.0645	NA	-0.1643	-0.4631	0.0621
513	NA	-0.1891	-0.5009	0.0936	NA	-0.1667	-0.4659	0.0603
514	NA	-0.2183	-0.5596	0.0756	NA	-0.1691	-0.4679	0.0586
515	NA	-0.1902	-0.5406	0.139	NA	-0.1715	-0.4704	0.0584
516	NA	-0.1548	-0.5438	0.193	NA	-0.1739	-0.4724	0.0568
517	NA	-0.1389	-0.4869	0.157	NA	-0.1763	-0.4756	0.054
518	NA	-0.1139	-0.4678	0.2048	NA	-0.1788	-0.4772	0.0519
519	NA	-0.1189	-0.4919	0.2465	NA	-0.1815	-0.479	0.0501
520	NA	-0.1869	-0.5918	0.1396	NA	-0.1844	-0.4823	0.0472
521	NA	-0.1659	-0.5518	0.1505	NA	-0.1875	-0.485	0.0453
522	NA	-0.1957	-0.5759	0.1417	NA	-0.191	-0.4885	0.0428
523	NA	-0.14	-0.5489	0.2004	NA	-0.1944	-0.4934	0.0409
524	NA	-0.1583	-0.6088	0.1667	NA	-0.1981	-0.4983	0.0386
525	NA	-0.0974	-0.4228	0.1995	NA	-0.2022	-0.5022	0.035
526	NA	-0.2305	-0.5828	0.0743	NA	-0.2066	-0.5068	0.0323
527	NA	-0.1658	-0.5129	0.117	NA	-0.211	-0.5126	0.0296
528	NA	-0.2196	-0.6718	0.1489	NA	-0.2159	-0.5166	0.0256
529	NA	-0.1915	-0.5361	0.0877	NA	-0.2206	-0.5215	0.0227
530	NA	-0.1997	-0.5669	0.1083	NA	-0.2255	-0.5266	0.0186
531	NA	-0.3422	-0.801	0.093	NA	-0.2305	-0.5315	0.0146
532	NA	-0.1841	-0.5318	0.0843	NA	-0.2358	-0.5362	0.0117
533	NA	-0.1535	-0.5598	0.1369	NA	-0.2407	-0.5432	0.0089
534	NA	-0.1287	-0.4911	0.1881	NA	-0.2456	-0.5497	0.0066
535	NA	-0.1629	-0.5158	0.1576	NA	-0.2507	-0.5545	0.0049
536	NA	-0.4439	-1.001	0.0265	NA	-0.2556	-0.559	0.0018
537	NA	-0.3183	-0.7398	0.017	NA	-0.2603	-0.5634	-7e-04
538	NA	-0.2788	-0.6318	0.0322	NA	-0.2651	-0.5686	-0.0029
539	NA	-0.2438	-0.6198	0.0813	NA	-0.2693	-0.5734	-0.0052
540	NA	-0.2927	-0.7108	0.0368	NA	-0.273	-0.5777	-0.0081
541	NA	-0.3522	-0.7438	-0.0332	NA	-0.2766	-0.582	-0.0098
542	NA	-0.374	-0.7928	-0.0502	NA	-0.28	-0.5856	-0.0117
543	NA	-0.4511	-0.9549	-0.0292	NA	-0.2827	-0.5874	-0.013
544	NA	-0.4004	-0.8088	-0.0291	NA	-0.285	-0.5897	-0.0131
545	NA	-0.4237	-0.9008	-0.0101	NA	-0.2867	-0.5897	-0.0131
546	NA	-0.3742	-0.905	-0.0159	NA	-0.2878	-0.5907	-0.0123
547	NA	-0.3315	-0.8	0.0393	NA	-0.2882	-0.5897	-0.0123
548	NA	-0.3087	-0.7419	0.0754	NA	-0.2881	-0.5873	-0.0115
549	NA	-0.3752	-0.8128	0.0266	NA	-0.2874	-0.5854	-0.0104
550	NA	-0.3761	-0.8469	0.0235	NA	-0.2861	-0.5827	-0.0091
551	NA	-0.3919	-0.8148	-5e-04	NA	-0.2842	-0.5797	-0.0069
552	NA	-0.3112	-0.7288	0.063	NA	-0.2818	-0.5754	-0.005
553	NA	-0.3144	-0.6885	0.0397	NA	-0.2791	-0.5711	-0.0034
554	NA	-0.2818	-0.6582	0.087	NA	-0.2759	-0.5653	1e-04
555	NA	-0.2803	-0.6622	0.0614	NA	-0.2724	-0.5604	0.0021
556	NA	-0.2286	-0.5718	0.0734	NA	-0.2685	-0.5556	0.0042
557	NA	-0.2523	-0.6168	0.0701	NA	-0.2646	-0.5503	0.0075
558	NA	-0.1609	-0.5248	0.1576	NA	-0.2606	-0.5456	0.0109
559	NA	-0.2048	-0.5658	0.0774	NA	-0.2564	-0.54	0.0132
560	NA	-0.2575	-0.619	0.0438	NA	-0.2524	-0.5322	0.0169
561	NA	-0.1985	-0.5528	0.114	NA	-0.248	-0.5247	0.0207
562	NA	-0.2623	-0.6118	0.0759	NA	-0.2439	-0.5188	0.0246
563	NA	-0.2489	-0.6028	0.0561	NA	-0.2397	-0.5118	0.0288
564	NA	-0.2542	-0.6038	0.041	NA	-0.2356	-0.5063	0.0319
565	NA	-0.2299	-0.6008	0.083	NA	-0.2318	-0.4994	0.0347
566	NA	-0.1785	-0.5298	0.1227	NA	-0.2281	-0.4927	0.039
567	NA	-0.1643	-0.532	0.1438	NA	-0.2243	-0.4863	0.0423
568	NA	-0.1188	-0.4848	0.2119	NA	-0.2206	-0.4799	0.0448
569	NA	-0.2572	-0.7261	0.1	NA	-0.2171	-0.476	0.0483
570	NA	-0.1389	-0.5023	0.1717	NA	-0.2139	-0.47	0.0515
571	NA	-0.1258	-0.5015	0.1671	NA	-0.211	-0.4662	0.0536
572	NA	-0.1265	-0.5118	0.2008	NA	-0.2084	-0.4625	0.057
573	NA	-0.1329	-0.5108	0.1871	NA	-0.2059	-0.4572	0.0595
574	NA	-0.2143	-0.5968	0.1534	NA	-0.2034	-0.4518	0.0615
575	NA	-0.2816	-0.6747	0.0712	NA	-0.2011	-0.444	0.0647
576	NA	-0.267	-0.6619	0.0721	NA	-0.1988	-0.4386	0.0687
577	NA	-0.2189	-0.5719	0.0933	NA	-0.1967	-0.433	0.0718
578	NA	-0.2276	-0.5808	0.0902	NA	-0.1947	-0.4285	0.0737
579	NA	-0.2681	-0.6008	0.0552	NA	-0.1926	-0.4235	0.0766
580	NA	-0.2619	-0.6188	0.0629	NA	-0.1905	-0.4194	0.0799
581	NA	-0.2007	-0.5488	0.122	NA	-0.1885	-0.4152	0.0838
582	NA	-0.2293	-0.6129	0.0876	NA	-0.1863	-0.4119	0.0861
583	NA	-0.1738	-0.4869	0.1371	NA	-0.1841	-0.4067	0.0893
584	NA	-0.1912	-0.5118	0.1203	NA	-0.1823	-0.4037	0.0936
585	NA	-0.243	-0.5958	0.0827	NA	-0.1806	-0.4005	0.0966
586	NA	-0.1278	-0.4298	0.1991	NA	-0.1787	-0.3973	0.0986
587	NA	-0.2357	-0.5589	0.086	NA	-0.1766	-0.3931	0.1024
588	NA	-0.1527	-0.4756	0.1269	NA	-0.1749	-0.3902	0.1065
589	NA	-0.1791	-0.5208	0.1226	NA	-0.1732	-0.3877	0.1098
590	NA	-0.0571	-0.3478	0.2666	NA	-0.1716	-0.3848	0.1133
591	NA	-0.1999	-0.5368	0.1125	NA	-0.1703	-0.3837	0.1167
592	NA	-0.0718	-0.3847	0.3259	NA	-0.1691	-0.3829	0.12
593	NA	-0.0369	-0.3438	0.3289	NA	-0.168	-0.3822	0.1222
594	NA	-0.0038	-0.3208	0.3418	NA	-0.1673	-0.3814	0.1245
595	NA	-0.0718	-0.3734	0.2237	NA	-0.1668	-0.3816	0.1267
596	NA	-0.2427	-0.5858	0.1459	NA	-0.1665	-0.3818	0.1291
597	NA	-0.1014	-0.4043	0.2292	NA	-0.1666	-0.3823	0.1309
598	NA	-0.1128	-0.4358	0.2166	NA	-0.1667	-0.3843	0.1322
599	NA	-0.1661	-0.4789	0.179	NA	-0.1667	-0.3859	0.1332
600	NA	-0.1299	-0.4505	0.2383	NA	-0.1675	-0.3883	0.1334
601	NA	-0.1876	-0.5568	0.2439	NA	-0.1682	-0.3932	0.1326
602	NA	-0.0778	-0.4167	0.3048	NA	-0.1689	-0.3952	0.1322
603	NA	-0.2038	-0.6337	0.2767	NA	-0.17	-0.3985	0.1308
604	NA	-0.0439	-0.3968	0.3271	NA	-0.1711	-0.402	0.1282
605	NA	-0.0297	-0.4378	0.422	NA	-0.1723	-0.4059	0.1255
606	NA	-0.1468	-0.5359	0.2612	NA	-0.1736	-0.409	0.1222
607	NA	-0.119	-0.4588	0.2846	NA	-0.1751	-0.4137	0.1193
608	NA	-0.2686	-0.6728	0.2056	NA	-0.1765	-0.4184	0.1147
609	NA	-0.1797	-0.6258	0.2497	NA	-0.1777	-0.4232	0.111
610	NA	-0.2179	-0.5848	0.1712	NA	-0.1794	-0.427	0.107
611	NA	-0.2037	-0.6073	0.2088	NA	-0.1809	-0.4317	0.1031
612	NA	-0.2229	-0.5998	0.1326	NA	-0.1827	-0.4348	0.1011
613	NA	-0.2198	-0.6558	0.1807	NA	-0.1843	-0.4371	0.0965
614	NA	-0.1758	-0.554	0.1471	NA	-0.1862	-0.4389	0.0912
615	NA	-0.1799	-0.5679	0.2105	NA	-0.1882	-0.4422	0.0887
616	NA	-0.162	-0.5299	0.1594	NA	-0.1903	-0.444	0.0835
617	NA	-0.2735	-0.7168	0.076	NA	-0.1923	-0.448	0.0796
618	NA	-0.134	-0.5738	0.1828	NA	-0.1946	-0.4502	0.0752
619	NA	-0.128	-0.5149	0.169	NA	-0.1971	-0.4524	0.0691
620	NA	-0.117	-0.4578	0.2073	NA	-0.1995	-0.454	0.0653
621	NA	-0.168	-0.5198	0.1352	NA	-0.202	-0.4571	0.0612
622	NA	-0.1765	-0.5048	0.0726	NA	-0.2044	-0.46	0.0588
623	NA	-0.1829	-0.5232	0.1431	NA	-0.2075	-0.4611	0.0542
624	NA	-0.2028	-0.5329	0.0781	NA	-0.2107	-0.4644	0.051
625	NA	-0.1918	-0.5336	0.1222	NA	-0.2136	-0.4659	0.0467
626	NA	-0.1877	-0.5033	0.1262	NA	-0.2165	-0.4683	0.0435
627	NA	-0.4157	-0.8698	0.2568	NA	-0.219	-0.4714	0.0398
628	NA	-0.2496	-0.6293	0.0808	NA	-0.2217	-0.4734	0.0372
629	NA	-0.1303	-0.4921	0.1744	NA	-0.2243	-0.4741	0.0345
630	NA	-0.195	-0.5358	0.0713	NA	-0.2269	-0.4765	0.0314
631	NA	-0.3095	-0.6552	0.0313	NA	-0.2292	-0.4787	0.0284
632	NA	-0.2363	-0.5596	0.0804	NA	-0.2315	-0.4804	0.0277
633	NA	-0.2378	-0.5686	0.0562	NA	-0.2342	-0.4825	0.0256
634	NA	-0.2379	-0.5708	0.0332	NA	-0.2362	-0.484	0.0255
635	NA	-0.2149	-0.5278	0.075	NA	-0.2379	-0.4852	0.0233
636	NA	-0.2049	-0.5168	0.1108	NA	-0.2395	-0.4863	0.0215
637	NA	-0.2637	-0.5928	0.05	NA	-0.2408	-0.4869	0.0203
638	NA	-0.2668	-0.562	0.024	NA	-0.2419	-0.488	0.0201
639	NA	-0.2719	-0.5742	0.0379	NA	-0.2429	-0.4885	0.0197
640	NA	-0.2227	-0.5328	0.0892	NA	-0.2435	-0.4884	0.0195
641	NA	-0.2687	-0.5785	0.0483	NA	-0.2439	-0.4884	0.0187
642	NA	-0.2509	-0.5561	0.0556	NA	-0.2441	-0.488	0.0184
643	NA	-0.258	-0.5649	0.0405	NA	-0.244	-0.4879	0.0187
644	NA	-0.2476	-0.5988	0.0793	NA	-0.2433	-0.4862	0.0191
645	NA	-0.2953	-0.6258	0.0663	NA	-0.2425	-0.4859	0.0194
646	NA	-0.308	-0.6729	-0.0011	NA	-0.2416	-0.4851	0.0208
647	NA	-0.3665	-0.788	-0.0079	NA	-0.24	-0.4833	0.0236
648	NA	-0.4069	-0.8322	-0.0156	NA	-0.2384	-0.4818	0.0251
649	NA	-0.3172	-0.7019	0.0035	NA	-0.2361	-0.48	0.028
650	NA	-0.2511	-0.6209	0.0553	NA	-0.2337	-0.4774	0.0306
651	NA	-0.3045	-0.6498	0.0145	NA	-0.2314	-0.4773	0.0345
652	NA	-0.1432	-0.4572	0.3082	NA	-0.2291	-0.4755	0.0392
653	NA	-0.2246	-0.5419	0.0767	NA	-0.2265	-0.4724	0.044
654	NA	-0.242	-0.5738	0.076	NA	-0.2239	-0.4713	0.0478
655	NA	-0.1598	-0.5469	0.1655	NA	-0.2212	-0.4701	0.05
656	NA	-0.1056	-0.4768	0.2502	NA	-0.2183	-0.4691	0.053
657	NA	-0.1315	-0.4888	0.1732	NA	-0.2154	-0.4686	0.0582
658	NA	-0.2072	-0.5719	0.0948	NA	-0.2129	-0.467	0.0638
659	NA	-0.1819	-0.5201	0.1034	NA	-0.2103	-0.4658	0.0689
